model_input,pred_correct,expected_if,predicted_if,pred_score
"def read_embeddings ( file_enc , skip_lines = 0 , filter_set = None ) : <TAB> embs = dict ( ) <TAB> total_vectors_in_file = 0 <TAB> with open ( file_enc , ""rb"" ) as f : <TAB> <TAB> for i , line in enumerate ( f ) : <TAB> <TAB> <TAB> if i < skip_lines : <TAB> <TAB> <TAB> <TAB> continue <TAB> <TAB> <TAB> if not line : <TAB> <TAB> <TAB> <TAB> break <TAB> <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> continue <TAB> <TAB> <TAB> l_split = line . decode ( ""utf8"" ) . strip ( ) . split ( "" "" ) <TAB> <TAB> <TAB> if len ( l_split ) == 2 : <TAB> <TAB> <TAB> <TAB> continue <TAB> <TAB> <TAB> total_vectors_in_file += 1 <TAB> <TAB> <TAB> if filter_set is not None and l_split [ 0 ] not in filter_set : <TAB> <TAB> <TAB> <TAB> continue <TAB> <TAB> <TAB> embs [ l_split [ 0 ] ] = [ float ( em ) for em in l_split [ 1 : ] ] <TAB> return embs , total_vectors_in_file",False,if len ( line ) == 0 :,___________________,0.0
"def config_dict ( filename ) : <TAB> """"""Convert content of config-file into dictionary."""""" <TAB> with open ( filename , ""r"" ) as f : <TAB> <TAB> cfglines = f . readlines ( ) <TAB> cfgdict = { } <TAB> for line in cfglines : <TAB> <TAB> line = line . strip ( ) <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> continue <TAB> <TAB> try : <TAB> <TAB> <TAB> key , value = line . split ( ""="" ) <TAB> <TAB> except ValueError : <TAB> <TAB> <TAB> print ( ""Bad line in config-file %s:\n%s"" % ( filename , line ) ) <TAB> <TAB> <TAB> continue <TAB> <TAB> key = key . strip ( ) <TAB> <TAB> value = value . strip ( ) <TAB> <TAB> if value in [ ""True"" , ""False"" , ""None"" , ""''"" , '""""' ] : <TAB> <TAB> <TAB> value = eval ( value ) <TAB> <TAB> else : <TAB> <TAB> <TAB> try : <TAB> <TAB> <TAB> <TAB> if ""."" in value : <TAB> <TAB> <TAB> <TAB> <TAB> value = float ( value ) <TAB> <TAB> <TAB> <TAB> else : <TAB> <TAB> <TAB> <TAB> <TAB> value = int ( value ) <TAB> <TAB> <TAB> except ValueError : <TAB> <TAB> <TAB> <TAB> pass <TAB> <TAB> cfgdict [ key ] = value <TAB> return cfgdict",False,"if not line or line . startswith ( ""#"" ) :",___________________,0.0
"def gen_colinfo ( data ) : <TAB> colinfo = { ""pid"" : 0 } <TAB> for pid in data : <TAB> <TAB> pid_len = len ( str ( pid ) ) <TAB> <TAB> if colinfo [ ""pid"" ] < pid_len : <TAB> <TAB> <TAB> colinfo [ ""pid"" ] = pid_len <TAB> <TAB> for column in data [ pid ] : <TAB> <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> <TAB> colinfo [ column ] = 4 <TAB> <TAB> <TAB> <TAB> continue <TAB> <TAB> <TAB> if type ( data [ pid ] [ column ] ) not in ( str , unicode , int , float ) : <TAB> <TAB> <TAB> <TAB> continue <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> if type ( data [ pid ] [ column ] ) == unicode : <TAB> <TAB> <TAB> <TAB> data [ pid ] [ column ] = data [ pid ] [ column ] . encode ( ""utf8"" , ""replace"" ) <TAB> <TAB> <TAB> pid_len = len ( str ( data [ pid ] [ column ] ) ) <TAB> <TAB> <TAB> if column not in colinfo : <TAB> <TAB> <TAB> <TAB> colinfo [ column ] = pid_len <TAB> <TAB> <TAB> else : <TAB> <TAB> <TAB> <TAB> if colinfo [ column ] < pid_len : <TAB> <TAB> <TAB> <TAB> <TAB> colinfo [ column ] = pid_len <TAB> return colinfo",False,"if ""_percent"" in column :",___________________,0.0
"def readline ( _size = - 1 , prompt = """" , float = True , priority = 10 ) : <TAB> <TAB> <TAB> global buffer_handle , prompt_handle , suggest_handle , eof , show_suggestions <TAB> <TAB> from pwnlib . term import term_mode <TAB> if not term_mode : <TAB> <TAB> six . print_ ( prompt , end = """" , flush = True ) <TAB> <TAB> return getattr ( sys . stdin , ""buffer"" , sys . stdin ) . readline ( _size ) . rstrip ( b""\n"" ) <TAB> show_suggestions = False <TAB> eof = False <TAB> if prompt : <TAB> <TAB> prompt_handle = term . output ( prompt , float = float , priority = priority ) <TAB> else : <TAB> <TAB> prompt_handle = None <TAB> buffer_handle = term . output ( float = float , priority = priority ) <TAB> suggest_handle = None <TAB> clear ( ) <TAB> if startup_hook : <TAB> <TAB> startup_hook ( ) <TAB> try : <TAB> <TAB> while True : <TAB> <TAB> <TAB> try : <TAB> <TAB> <TAB> <TAB> try : <TAB> <TAB> <TAB> <TAB> <TAB> keymap . handle_input ( ) <TAB> <TAB> <TAB> <TAB> except EOFError : <TAB> <TAB> <TAB> <TAB> <TAB> if len ( buffer_left + buffer_right ) == 0 : <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> return b"""" <TAB> <TAB> <TAB> <TAB> if eof : <TAB> <TAB> <TAB> <TAB> <TAB> return b"""" <TAB> <TAB> <TAB> <TAB> else : <TAB> <TAB> <TAB> <TAB> <TAB> buffer = buffer_left + buffer_right <TAB> <TAB> <TAB> <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> history . insert ( 0 , buffer ) <TAB> <TAB> <TAB> <TAB> <TAB> return force_to_bytes ( buffer ) + b""\n"" <TAB> <TAB> <TAB> except KeyboardInterrupt : <TAB> <TAB> <TAB> <TAB> control_c ( ) <TAB> finally : <TAB> <TAB> line = buffer_left + buffer_right + ""\n"" <TAB> <TAB> buffer_handle . update ( line ) <TAB> <TAB> buffer_handle . freeze ( ) <TAB> <TAB> buffer_handle = None <TAB> <TAB> if prompt_handle : <TAB> <TAB> <TAB> prompt_handle . freeze ( ) <TAB> <TAB> <TAB> prompt_handle = None <TAB> <TAB> if suggest_handle : <TAB> <TAB> <TAB> suggest_handle . freeze ( ) <TAB> <TAB> <TAB> suggest_handle = None <TAB> <TAB> if shutdown_hook : <TAB> <TAB> <TAB> shutdown_hook ( )",False,if buffer :,___________________,0.0
"def init ( self ) : <TAB> """"""Initialize a module from the database and validate"""""" <TAB> self . __item = None <TAB> self . __baseItem = None <TAB> self . __charge = None <TAB> self . __mutaplasmid = None <TAB> <TAB> self . __slot = self . dummySlot <TAB> if self . itemID : <TAB> <TAB> self . __item = eos . db . getItem ( self . itemID ) <TAB> <TAB> if self . __item is None : <TAB> <TAB> <TAB> pyfalog . error ( ""Item (id: {0}) does not exist"" , self . itemID ) <TAB> <TAB> <TAB> return <TAB> if self . baseItemID : <TAB> <TAB> self . __item = eos . db . getItemWithBaseItemAttribute ( self . itemID , self . baseItemID ) <TAB> <TAB> self . __baseItem = eos . db . getItem ( self . baseItemID ) <TAB> <TAB> self . __mutaplasmid = eos . db . getMutaplasmid ( self . mutaplasmidID ) <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> pyfalog . error ( ""Base Item (id: {0}) does not exist"" , self . itemID ) <TAB> <TAB> <TAB> return <TAB> if self . isInvalid : <TAB> <TAB> pyfalog . error ( ""Item (id: {0}) is not a Module"" , self . itemID ) <TAB> <TAB> return <TAB> if self . chargeID : <TAB> <TAB> self . __charge = eos . db . getItem ( self . chargeID ) <TAB> self . build ( )",False,if self . __baseItem is None :,___________________,0.0
"def _get_enclosing_context_level ( child_context , name ) : <TAB> <TAB> <TAB> if name in child_context . local_vars : <TAB> <TAB> return None <TAB> else : <TAB> <TAB> level = 0 <TAB> <TAB> for context in child_context . outer_contexts [ : : - 1 ] : <TAB> <TAB> <TAB> level += 1 <TAB> <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> <TAB> return level <TAB> return None",False,if name in context . local_vars and context . local_vars [ name ] is not None :,___________________,0.0
"def test_object_role_JT_attach ( <TAB> rando , <TAB> job_template , <TAB> workflow_job_template , <TAB> inventory_source , <TAB> notification_template , <TAB> res_role , <TAB> expect , ) : <TAB> nt_organization = Organization . objects . create ( <TAB> <TAB> name = ""organization just for the notification template"" <TAB> ) <TAB> nt_organization . notification_admin_role . members . add ( rando ) <TAB> notification_template . organization = nt_organization <TAB> notification_template . save ( ) <TAB> kwargs = dict ( <TAB> <TAB> sub_obj = notification_template , <TAB> <TAB> relationship = ""notification_templates_success"" , <TAB> <TAB> data = { ""id"" : notification_template . id } , <TAB> ) <TAB> permissions = { } <TAB> expected_permissions = { } <TAB> for resource in ( job_template , workflow_job_template , inventory_source ) : <TAB> <TAB> permission_resource = resource <TAB> <TAB> if resource == inventory_source : <TAB> <TAB> <TAB> permission_resource = inventory_source . inventory <TAB> <TAB> model_name = resource . __class__ . __name__ <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> if res_role is not None : <TAB> <TAB> <TAB> <TAB> getattr ( permission_resource , res_role ) . members . add ( rando ) <TAB> <TAB> <TAB> permissions [ model_name ] = rando . can_access ( <TAB> <TAB> <TAB> <TAB> resource . __class__ , ""attach"" , resource , ** kwargs <TAB> <TAB> <TAB> ) <TAB> <TAB> <TAB> expected_permissions [ model_name ] = expect <TAB> <TAB> else : <TAB> <TAB> <TAB> permissions [ model_name ] = None <TAB> <TAB> <TAB> expected_permissions [ model_name ] = None <TAB> assert permissions == expected_permissions",False,"if res_role is None or hasattr ( permission_resource , res_role ) :",___________________,0.0
"def run ( self ) : <TAB> while True : <TAB> <TAB> if not self . initialized : <TAB> <TAB> <TAB> try : <TAB> <TAB> <TAB> <TAB> with Client ( ) as c : <TAB> <TAB> <TAB> <TAB> <TAB> self . disks = c . call ( ""disk.disks_for_temperature_monitoring"" ) <TAB> <TAB> <TAB> <TAB> <TAB> self . powermode = c . call ( ""smart.config"" ) [ ""powermode"" ] <TAB> <TAB> <TAB> except Exception as e : <TAB> <TAB> <TAB> <TAB> print ( f""Failed to query disks for temperature monitoring: {e!r}"" ) <TAB> <TAB> <TAB> else : <TAB> <TAB> <TAB> <TAB> self . initialized = True <TAB> <TAB> if not self . initialized : <TAB> <TAB> <TAB> time . sleep ( self . interval ) <TAB> <TAB> <TAB> continue <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> return <TAB> <TAB> try : <TAB> <TAB> <TAB> with Client ( ) as c : <TAB> <TAB> <TAB> <TAB> self . temperatures = { <TAB> <TAB> <TAB> <TAB> <TAB> disk : temperature * 1000 <TAB> <TAB> <TAB> <TAB> <TAB> for disk , temperature in c . call ( <TAB> <TAB> <TAB> <TAB> <TAB> <TAB> ""disk.temperatures"" , self . disks , self . powermode <TAB> <TAB> <TAB> <TAB> <TAB> ) . items ( ) <TAB> <TAB> <TAB> <TAB> <TAB> if temperature is not None <TAB> <TAB> <TAB> <TAB> } <TAB> <TAB> except Exception as e : <TAB> <TAB> <TAB> print ( f""Failed to collect disks temperatures: {e!r}"" ) <TAB> <TAB> <TAB> self . temperatures = { } <TAB> <TAB> time . sleep ( self . interval )",False,if not self . disks :,___________________,0.0
"def _performance_by_month ( user_id , months = 12 , end_month = None , end_year = None ) : <TAB> monthly_data = OrderedDict ( ) <TAB> now = datetime . now ( ) <TAB> if not end_month : <TAB> <TAB> end_month = now . month <TAB> if not end_year : <TAB> <TAB> end_year = now . year <TAB> end_time = time . mktime ( ( end_year , end_month + 1 , 1 , 0 , 0 , 0 , 0 , 0 , - 1 ) ) <TAB> start_time = time . mktime ( ( end_year , end_month + 1 - months , 1 , 0 , 0 , 0 , 0 , 0 , - 1 ) ) <TAB> sql = PerformanceGraph . objects . filter_raw ( <TAB> <TAB> ""log_activity.created >="" , date . fromtimestamp ( start_time ) . isoformat ( ) <TAB> ) . filter_raw ( ""log_activity.created <"" , date . fromtimestamp ( end_time ) . isoformat ( ) ) <TAB> for row in sql . all ( ) : <TAB> <TAB> label = row . approval_created . isoformat ( ) [ : 7 ] <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> xaxis = row . approval_created . strftime ( ""%b %Y"" ) <TAB> <TAB> <TAB> monthly_data [ label ] = dict ( teamcount = 0 , usercount = 0 , teamamt = 0 , label = xaxis ) <TAB> <TAB> monthly_data [ label ] [ ""teamamt"" ] = monthly_data [ label ] [ ""teamamt"" ] + 1 <TAB> <TAB> monthly_data_count = monthly_data [ label ] [ ""teamcount"" ] <TAB> <TAB> monthly_data [ label ] [ ""teamcount"" ] = monthly_data_count + row . total <TAB> <TAB> if row . user_id == user_id : <TAB> <TAB> <TAB> user_count = monthly_data [ label ] [ ""usercount"" ] <TAB> <TAB> <TAB> monthly_data [ label ] [ ""usercount"" ] = user_count + row . total <TAB> <TAB> for i , vals in monthly_data . items ( ) : <TAB> <TAB> average = round ( vals [ ""teamcount"" ] / float ( vals [ ""teamamt"" ] ) , 1 ) <TAB> <TAB> monthly_data [ i ] [ ""teamavg"" ] = str ( average ) <TAB> return monthly_data",False,if label not in monthly_data :,___________________,0.0
"def get_action ( self , values , option_string ) : <TAB> try : <TAB> <TAB> properties = defaultdict ( list ) <TAB> <TAB> for ( k , v ) in ( x . split ( ""="" , 1 ) for x in values ) : <TAB> <TAB> <TAB> properties [ k ] . append ( v ) <TAB> <TAB> properties = dict ( properties ) <TAB> except ValueError : <TAB> <TAB> raise CLIError ( ""usage error: {} [KEY=VALUE ...]"" . format ( option_string ) ) <TAB> d = { } <TAB> for k in properties : <TAB> <TAB> kl = k . lower ( ) <TAB> <TAB> v = properties [ k ] <TAB> <TAB> if kl == ""first-name"" : <TAB> <TAB> <TAB> d [ ""first_name"" ] = v [ 0 ] <TAB> <TAB> <fill-in> <TAB> <TAB> <TAB> d [ ""last_name"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""company-name"" : <TAB> <TAB> <TAB> d [ ""company_name"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""address-line1"" : <TAB> <TAB> <TAB> d [ ""address_line1"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""address-line2"" : <TAB> <TAB> <TAB> d [ ""address_line2"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""address-line3"" : <TAB> <TAB> <TAB> d [ ""address_line3"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""city"" : <TAB> <TAB> <TAB> d [ ""city"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""district"" : <TAB> <TAB> <TAB> d [ ""district"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""region"" : <TAB> <TAB> <TAB> d [ ""region"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""country"" : <TAB> <TAB> <TAB> d [ ""country"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""postal-code"" : <TAB> <TAB> <TAB> d [ ""postal_code"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""email"" : <TAB> <TAB> <TAB> d [ ""email"" ] = v [ 0 ] <TAB> <TAB> elif kl == ""phone-number"" : <TAB> <TAB> <TAB> d [ ""phone_number"" ] = v [ 0 ] <TAB> return d",False,"elif kl == ""last-name"" :",___________________,0.0
